date,equity,cash,positions,gross_exposure
2022-05-09,100000.0,100000.0,0,0.0
2022-05-10,100000.0,100000.0,0,0.0
2022-05-11,100000.0,100000.0,0,0.0
2022-05-12,100000.0,100000.0,0,0.0
2022-05-13,100000.0,100000.0,0,0.0
2022-05-16,100000.0,100000.0,0,0.0
2022-05-17,100000.0,100000.0,0,0.0
2022-05-18,100000.0,100000.0,0,0.0
2022-05-19,100000.0,100000.0,0,0.0
2022-05-20,100000.0,100000.0,0,0.0
2022-05-23,100000.0,100000.0,0,0.0
2022-05-24,100000.0,100000.0,0,0.0
2022-05-25,100000.0,100000.0,0,0.0
2022-05-26,100000.0,100000.0,0,0.0
2022-05-27,100000.0,100000.0,0,0.0
2022-05-30,100000.0,100000.0,0,0.0
2022-05-31,100000.0,100000.0,0,0.0
2022-06-01,100000.0,100000.0,0,0.0
2022-06-02,100000.0,100000.0,0,0.0
2022-06-03,100000.0,100000.0,0,0.0
2022-06-06,100000.0,100000.0,0,0.0
2022-06-07,100000.0,100000.0,0,0.0
2022-06-08,100000.0,100000.0,0,0.0
2022-06-09,100000.0,100000.0,0,0.0
2022-06-10,100000.0,100000.0,0,0.0
2022-06-13,100000.0,100000.0,0,0.0
2022-06-14,100000.0,100000.0,0,0.0
2022-06-15,100000.0,100000.0,0,0.0
2022-06-16,100000.0,100000.0,0,0.0
2022-06-17,100000.0,100000.0,0,0.0
2022-06-20,100000.0,100000.0,0,0.0
2022-06-21,100000.0,100000.0,0,0.0
2022-06-22,100000.0,100000.0,0,0.0
2022-06-23,100000.0,100000.0,0,0.0
2022-06-24,100000.0,100000.0,0,0.0
2022-06-27,100000.0,100000.0,0,0.0
2022-06-28,100000.0,100000.0,0,0.0
2022-06-29,100000.0,100000.0,0,0.0
2022-06-30,100000.0,100000.0,0,0.0
2022-07-01,100000.0,100000.0,0,0.0
2022-07-04,100000.0,100000.0,0,0.0
2022-07-05,100000.0,100000.0,0,0.0
2022-07-06,100000.0,100000.0,0,0.0
2022-07-07,100000.0,100000.0,0,0.0
2022-07-08,100000.0,100000.0,0,0.0
2022-07-11,100000.0,100000.0,0,0.0
2022-07-12,100000.0,100000.0,0,0.0
2022-07-13,100000.0,100000.0,0,0.0
2022-07-14,100000.0,100000.0,0,0.0
2022-07-15,100000.0,100000.0,0,0.0
2022-07-18,100000.0,100000.0,0,0.0
2022-07-19,100000.0,100000.0,0,0.0
2022-07-20,100000.0,100000.0,0,0.0
2022-07-21,100000.0,100000.0,0,0.0
2022-07-22,98132.78427300001,30441.784273000012,1,0.6897898648395357
2022-07-25,97353.78427300001,30441.784273000012,1,0.6873076429403607
2022-07-26,97271.78427300001,30441.784273000012,1,0.6870440436502837
2022-07-27,98378.78427300001,30441.784273000012,1,0.6905655574221734
2022-07-28,99895.78427300001,30441.784273000012,1,0.6952645750314423
2022-07-29,98870.78427300001,30441.784273000012,1,0.692105362601911
2022-08-01,102642.78427300001,30441.784273000012,1,0.7034201236003721
2022-08-02,102765.78427300001,30441.784273000012,1,0.7037750989947139
2022-08-03,104247.18941300001,677.1894130000182,2,0.9935040031600548
2022-08-04,102844.18941300001,677.1894130000182,2,0.9934153847984492
2022-08-05,102829.18941300001,677.1894130000182,2,0.9934144242810261
2022-08-08,102577.18941300001,677.1894130000182,2,0.993398245585834
2022-08-09,101916.18941300001,677.1894130000182,2,0.9933554284466445
2022-08-10,101339.18941300001,677.1894130000182,2,0.9933175959179998
2022-08-11,101503.18941300001,677.1894130000182,2,0.9933283927636536
2022-08-12,101831.18941300001,677.1894130000182,2,0.9933498821244883
2022-08-15,104525.18941300001,677.1894130000182,2,0.9935212802119467
2022-08-16,104189.18941300001,677.1894130000182,2,0.9935003869709008
2022-08-17,104019.18941300001,677.1894130000182,2,0.993489764563428
2022-08-18,103921.18941300001,677.1894130000182,2,0.9934836252661741
