scope,hypothesis,hold,trades,symbols,win_rate,avg_trade_pct,median_trade_pct,avg_win_pct,avg_loss_pct,profit_factor,best_trade_pct,worst_trade_pct,avg_hold_bars,benchmark_ew_return,benchmark_bh_return,benchmark_ew_maxdd,benchmark_bh_maxdd,total_return,sharpe,max_drawdown,final_equity
signal_quality,leader_pullback_market_healthy,10,771,30,0.5343709468223087,1.3233547219538224,0.5694760820045639,6.373060067817541,-4.5478590858765715,1.635548860336157,39.285714285714285,-26.075268817204304,9.970168612191959,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619,,,,
signal_quality,leader_pullback_market_healthy,20,771,30,0.5330739299610895,1.9729550226665498,0.841219768664558,9.08238721067235,-6.31917948888693,1.6877693649721637,60.30701754385963,-34.9938195302843,19.811932555123217,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619,,,,
signal_quality,leader_pullback_market_healthy,30,771,30,0.5603112840466926,2.9944332039327484,1.648998822143705,11.671024045171555,-8.232452973740848,1.8446983884288748,84.59595959595957,-36.626506024096386,29.604409857328147,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619,,,,
signal_quality,leader_pullback_market_healthy,60,771,30,0.522697795071336,3.947573268753944,0.928792569659456,17.687269805776143,-11.22085368549037,1.7451733153909141,131.91489361702128,-49.39725647776084,58.88586251621271,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619,,,,
signal_quality,money_cycle_reset_smt_confirm,10,238,29,0.4957983193277311,0.2544101410343671,0.0,4.527560576400439,-4.014428258042987,1.127822017326971,15.880503144654096,-17.932242990654203,9.873949579831933,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619,,,,
signal_quality,money_cycle_reset_smt_confirm,20,238,29,0.5210084033613446,1.4237470476006209,0.5206432961913028,7.940014337682669,-5.7142476154310025,1.5247739814144212,34.523809523809526,-25.0138657792568,19.705882352941178,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619,,,,
signal_quality,money_cycle_reset_smt_confirm,30,238,29,0.48739495798319327,1.4184695301011554,-0.12871152843380446,10.407078098476667,-7.246877593826821,1.3882082821108734,60.276073619631894,-28.996960486322187,29.537815126050422,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619,,,,
signal_quality,money_cycle_reset_smt_confirm,60,238,29,0.4789915966386555,3.1545531015707784,-0.24047732806806416,16.84862528114188,-9.589833146527283,1.6417175516296767,79.38311688311688,-41.1739318083729,58.831932773109244,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619,,,,
signal_quality,smart_money_strong_market_healthy,10,434,30,0.5875576036866359,1.892641530875748,1.4100363837137313,6.7793835205870385,-5.21457685833115,1.9052942751183695,40.27565084226646,-17.932242990654203,9.988479262672811,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619,,,,
signal_quality,smart_money_strong_market_healthy,20,434,30,0.5829493087557603,3.204960124117718,1.7414594703860873,9.993386283644936,-6.389741774691454,2.2229509817959334,61.71548117154812,-29.5774647887324,19.87327188940092,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619,,,,
signal_quality,smart_money_strong_market_healthy,30,434,30,0.631336405529954,4.518436525619967,3.1896830377385794,11.760436527883595,-7.933070166798988,2.554674571992873,71.51607963246555,-28.996960486322187,29.735023041474655,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619,,,,
signal_quality,smart_money_strong_market_healthy,60,434,30,0.5391705069124424,4.646703681533023,1.841434112763916,17.64240344638915,-10.664914185200649,1.9550193092830948,111.32897603485839,-49.39725647776084,59.205069124423964,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619,,,,
portfolio,leader_pullback_market_healthy,,117,29,0.39316239316239315,2.0414242082535563,-2.432375790714236,13.688846096496667,-5.504792789763106,1.611110572922679,26.51557281324068,-12.046909475775694,32.1025641025641,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619,0.7735468191850066,0.9366020112357407,-0.17869675309267474,177354.68191850066
portfolio,smart_money_strong_market_healthy,,93,30,0.4731182795698925,4.355389074137274,-2.2394437022733604,15.81215113338107,-5.932315632122459,2.393444180038074,29.55399701279308,-11.849579338160456,32.8494623655914,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619,0.7743456662700057,0.9155308929009324,-0.17312784080710164,177434.56662700057
portfolio,money_cycle_reset_smt_confirm,,73,27,0.410958904109589,4.052534337794732,-2.6364747313843,17.95852291549439,-5.649318158274796,2.217825529212548,29.00217174222503,-12.880223295292407,31.643835616438356,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619,0.638778563780007,0.7869218570557573,-0.22665426151545798,163877.8563780007
portfolio,combined,,138,30,0.37681159420289856,2.5882986091301796,-3.132797998352677,16.46269689307461,-5.800872446278079,1.7159813306109006,25.627028802383688,-13.50623787957792,32.289855072463766,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619,-0.1272885153749963,-0.006445987020395341,-0.4583004564236497,87271.14846250036
