name,description,universe,tags,filters,rank,risk,_fitness,_n_trades,_win_rate,_mean_pnl,_profit_factor,_rr,_sharpe
evo_6792654,Evolved from volume_surge_breakout_smt_v2,VN100,"['volume', 'surge', 'breakout', 'smart_money_trace', 'money_cycle', 'climactic', 'value_flow', 'evolved']","[{'column': 'mkt_regime_state', 'op': 'not_in', 'value': ['RISK_OFF']}, {'column': 'mkt_regime_score', 'op': '>=', 'value': 50}, {'column': 'data_quality_ok', 'op': '==', 'value': True}, {'column': 'mkt_CHDM20', 'op': '>', 'value': 45}, {'column': 'breakout_20', 'op': '==', 'value': True}, {'column': 'volume_ratio_20', 'op': '>=', 'value': 2.0}, {'column': 'value_flow_quality_score', 'op': '>=', 'value': 60}, {'column': 'cmf20', 'op': '>=', 'value': 0.03}, {'column': 'above_ma20', 'op': '==', 'value': True}, {'column': 'above_ma50', 'op': '==', 'value': True}, {'column': 'close_location', 'op': '>=', 'value': 0.8}, {'column': 'distance_ma20', 'op': 'between', 'value': [-0.02, 0.1]}, {'column': 'rsi14', 'op': '<=', 'value': 72}, {'column': 'smart_money_score', 'op': '>=', 'value': 58}, {'column': 'smart_money_score_delta', 'op': '>=', 'value': 0}, {'column': 'rs_percentile_20', 'op': '>=', 'value': 0.55}, {'column': 'distribution_days_10', 'op': '<=', 'value': 1}, {'column': 'DS20', 'op': '<=', 'value': 0.55}, {'column': 'triple_ma_pullback', 'op': '==', 'value': True}]","[{'column': 'volume_ratio_20', 'ascending': False, 'weight': 1.1}, {'column': 'value_flow_quality_score', 'ascending': False, 'weight': 1.0}, {'column': 'edge_score', 'ascending': False, 'weight': 0.9}, {'column': 'smart_money_score_delta', 'ascending': False, 'weight': 0.8}, {'column': 'rs_percentile_20', 'ascending': False, 'weight': 0.8}, {'column': 'close_location', 'ascending': False, 'weight': 0.6}]","{'stop_loss': 0.08, 'take_profit': 0.26, 'max_holding_bars': 28, 'initial_atr_stop_mult': 2.1, 'trailing_atr_mult': 2.6, 'trailing_profit_activation': 0.09, 'use_regime_exposure': True}",0.9734216916668982,26.0,0.692,3.113,4.165,1.85,1.875
breakout_after_accumulation_v3,"Accumulation base breakout: positive smart-money delta, value expansion, MA20/MA50 trend confirmation.",VN30,"['breakout', 'accumulation', 'smart_money_trace', 'money_cycle', 'ma_break']","[{'column': 'mkt_regime_state', 'op': 'not_in', 'value': ['RISK_OFF']}, {'column': 'mkt_regime_score', 'op': '>=', 'value': 50}, {'column': 'data_quality_ok', 'op': '==', 'value': True}, {'column': 'breakout_20', 'op': '==', 'value': True}, {'column': 'above_ma20', 'op': '==', 'value': True}, {'column': 'above_ma50', 'op': '==', 'value': True}, {'column': 'ma20_slope_5', 'op': '>=', 'value': 0}, {'column': 'ma50_slope_10', 'op': '>=', 'value': -0.02}, {'column': 'value_ratio_20', 'op': '>=', 'value': 1.1}, {'column': 'smart_money_score_no_sector', 'op': '>=', 'value': 58}, {'column': 'smart_money_score_no_sector_delta', 'op': '>=', 'value': 0}, {'column': 'rs_percentile_20', 'op': '>=', 'value': 0.58}, {'column': 'accumulation_days_10', 'op': '>=', 'value': 1}, {'column': 'distribution_days_10', 'op': '<=', 'value': 1}, {'column': 'CHDM50', 'op': '>=', 'value': 45}, {'column': 'DS20', 'op': '<=', 'value': 0.55}]","[{'column': 'edge_score_no_sector', 'ascending': False, 'weight': 1.5}, {'column': 'value_ratio_20', 'ascending': False, 'weight': 1.0}, {'column': 'smart_money_score_no_sector_delta', 'ascending': False, 'weight': 0.8}, {'column': 'rs_percentile_20', 'ascending': False, 'weight': 0.8}]","{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",0.0,1374.0,0.516,1.082,1.312,1.21,0.359
mean_reversion_uptrend_ma20_v1,"Leader mean reversion in uptrend: pullback/reclaim around MA20, DS not rising, smart money remains healthy.",VN30,"['mean_reversion', 'uptrend', 'ma20', 'smart_money_trace', 'money_cycle']","[{'column': 'mkt_regime_state', 'op': 'not_in', 'value': ['RISK_OFF']}, {'column': 'mkt_regime_score', 'op': '>=', 'value': 45}, {'column': 'above_ma50', 'op': '==', 'value': True}, {'column': 'distance_ma20', 'op': 'between', 'value': [-0.05, 0.025]}, {'column': 'ma50_slope_10', 'op': '>=', 'value': -0.02}, {'column': 'smart_money_score', 'op': '>=', 'value': 58}, {'column': 'rs_percentile_20', 'op': '>=', 'value': 0.58}, {'column': 'distribution_days_10', 'op': '<=', 'value': 1}, {'column': 'CHDM50', 'op': '>=', 'value': 45}, {'column': 'DS20', 'op': 'not_up'}]","[{'column': 'edge_score', 'ascending': False, 'weight': 1.3}, {'column': 'pullback_quality_score', 'ascending': False, 'weight': 1.0}, {'column': 'rs_percentile_20', 'ascending': False, 'weight': 0.8}, {'column': 'distance_ma20', 'ascending': True, 'weight': 0.4}]","{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 35, 'initial_atr_stop_mult': 2.1, 'trailing_atr_mult': 2.7, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",0.0,2238.0,0.535,1.195,1.407,1.2,0.432
mean_reversion_uptrend_ma50_v1,Deeper leader mean reversion in uptrend: controlled pullback around MA50 with non-deteriorating DS and SMT.,VN30,"['mean_reversion', 'uptrend', 'ma50', 'smart_money_trace', 'money_cycle']","[{'column': 'mkt_regime_state', 'op': 'not_in', 'value': ['RISK_OFF']}, {'column': 'mkt_regime_score', 'op': '>=', 'value': 45}, {'column': 'data_quality_ok', 'op': '==', 'value': True}, {'column': 'distance_ma50', 'op': 'between', 'value': [-0.06, 0.04]}, {'column': 'ma50_slope_10', 'op': '>=', 'value': -0.03}, {'column': 'smart_money_score_no_sector', 'op': '>=', 'value': 56}, {'column': 'rs_percentile_20', 'op': '>=', 'value': 0.55}, {'column': 'distribution_days_10', 'op': '<=', 'value': 1}, {'column': 'CHDM50', 'op': '>=', 'value': 42}, {'column': 'DS20', 'op': 'not_up'}]","[{'column': 'edge_score_no_sector', 'ascending': False, 'weight': 1.2}, {'column': 'pullback_quality_score', 'ascending': False, 'weight': 1.0}, {'column': 'smart_money_score_no_sector', 'ascending': False, 'weight': 0.8}, {'column': 'distance_ma50', 'ascending': True, 'weight': 0.4}]","{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 3.0, 'trailing_profit_activation': 0.12, 'use_regime_exposure': True}",0.0,2090.0,0.52,1.233,1.506,1.35,0.5
rotation_weekly_smt_money_cycle_v1,"Weekly VN30 top-rank rotation by smart money, relative strength, money cycle, and value flow.",VN30,"['rotation', 'weekly', 'smart_money_trace', 'money_cycle', 'relative_strength']","[{'column': 'mkt_regime_state', 'op': 'not_in', 'value': ['RISK_OFF']}, {'column': 'edge_score', 'op': '>=', 'value': 58}, {'column': 'smart_money_score', 'op': '>=', 'value': 52}, {'column': 'rs_percentile_20', 'op': '>=', 'value': 0.5}, {'column': 'distribution_days_10', 'op': '<=', 'value': 2}, {'column': 'above_ma50', 'op': '==', 'value': True}, {'column': 'CHDM50', 'op': '>=', 'value': 40}]","[{'column': 'edge_score', 'ascending': False, 'weight': 2.0}, {'column': 'smart_money_score', 'ascending': False, 'weight': 1.0}, {'column': 'rs_percentile_20', 'ascending': False, 'weight': 1.0}, {'column': 'CHDM50', 'ascending': False, 'weight': 0.6}]","{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 5, 'entry_every_n_bars': 5, 'use_regime_exposure': True}",0.0,4740.0,0.506,0.519,1.153,1.1,0.184
rotation_monthly_smt_money_cycle_v1,"Monthly VN30 top-rank rotation by smart money, relative strength, money cycle, and value flow.",VN30,"['rotation', 'monthly', 'smart_money_trace', 'money_cycle', 'relative_strength']","[{'column': 'mkt_regime_state', 'op': 'not_in', 'value': ['RISK_OFF']}, {'column': 'edge_score', 'op': '>=', 'value': 60}, {'column': 'smart_money_score', 'op': '>=', 'value': 55}, {'column': 'rs_percentile_20', 'op': '>=', 'value': 0.55}, {'column': 'distribution_days_10', 'op': '<=', 'value': 2}, {'column': 'above_ma50', 'op': '==', 'value': True}, {'column': 'CHDM50', 'op': '>=', 'value': 42}]","[{'column': 'edge_score', 'ascending': False, 'weight': 2.0}, {'column': 'smart_money_score', 'ascending': False, 'weight': 1.0}, {'column': 'rs_percentile_20', 'ascending': False, 'weight': 1.0}, {'column': 'CHDM50', 'ascending': False, 'weight': 0.6}]","{'stop_loss': 0.1, 'take_profit': 0.3, 'max_holding_bars': 20, 'entry_every_n_bars': 20, 'initial_atr_stop_mult': 2.8, 'use_regime_exposure': True}",0.0,4740.0,0.506,0.501,1.146,1.09,0.174
composite_edge_score_v2,Grid-selected composite scoring variant with lower smart-money floor and strong drawdown control.,VN30,"['score', 'money_cycle', 'smart_money_trace', 'relative_strength', 'market_regime', 'grid_selected']","[{'column': 'mkt_regime_state', 'op': 'not_in', 'value': ['RISK_OFF']}, {'column': 'mkt_regime_score', 'op': '>=', 'value': 50}, {'column': 'edge_score', 'op': '>=', 'value': 65}, {'column': 'smart_money_score', 'op': '>=', 'value': 55}, {'column': 'rs_percentile_20', 'op': '>=', 'value': 0.55}, {'column': 'distribution_days_10', 'op': '<=', 'value': 2}, {'column': 'above_ma50', 'op': '==', 'value': True}, {'column': 'DS20', 'op': '<=', 'value': 0.55}]","[{'column': 'edge_score', 'ascending': False, 'weight': 2.0}, {'column': 'smart_money_score', 'ascending': False, 'weight': 1.0}, {'column': 'rs_percentile_20', 'ascending': False, 'weight': 0.8}, {'column': 'value_ratio_20', 'ascending': False, 'weight': 0.4}]","{'stop_loss': 0.08, 'take_profit': 0.3, 'max_holding_bars': 60, 'initial_atr_stop_mult': 2.5, 'trailing_atr_mult': 3.0, 'trailing_profit_activation': 0.12, 'use_regime_exposure': True}",0.0,4384.0,0.51,0.657,1.192,1.12,0.227
composite_edge_score_v1,"Soft scoring model across smart money, money cycle, relative strength, value flow, and regime.",VN30,"['score', 'money_cycle', 'smart_money_trace', 'relative_strength', 'market_regime']","[{'column': 'mkt_regime_state', 'op': 'not_in', 'value': ['RISK_OFF']}, {'column': 'mkt_regime_score', 'op': '>=', 'value': 50}, {'column': 'edge_score', 'op': '>=', 'value': 65}, {'column': 'smart_money_score', 'op': '>=', 'value': 58}, {'column': 'rs_percentile_20', 'op': '>=', 'value': 0.55}, {'column': 'distribution_days_10', 'op': '<=', 'value': 2}, {'column': 'above_ma50', 'op': '==', 'value': True}, {'column': 'DS20', 'op': '<=', 'value': 0.55}]","[{'column': 'edge_score', 'ascending': False, 'weight': 2.0}, {'column': 'smart_money_score', 'ascending': False, 'weight': 1.0}, {'column': 'rs_percentile_20', 'ascending': False, 'weight': 0.8}, {'column': 'value_ratio_20', 'ascending': False, 'weight': 0.4}]","{'stop_loss': 0.08, 'take_profit': 0.3, 'max_holding_bars': 60, 'initial_atr_stop_mult': 2.5, 'trailing_atr_mult': 3.0, 'trailing_profit_activation': 0.12, 'use_regime_exposure': True}",0.0,4381.0,0.512,0.65,1.188,1.11,0.222
accumulation_breakout_smt_v1,Breakout from accumulation with smart money and value expansion confirmation.,VN30,"['breakout', 'accumulation', 'money_cycle', 'smart_money_trace']","[{'column': 'mkt_regime_state', 'op': 'not_in', 'value': ['RISK_OFF']}, {'column': 'mkt_regime_score', 'op': '>=', 'value': 50}, {'column': 'breakout_20', 'op': '==', 'value': True}, {'column': 'value_ratio_20', 'op': '>=', 'value': 1.15}, {'column': 'smart_money_score', 'op': '>=', 'value': 60}, {'column': 'rs_percentile_20', 'op': '>=', 'value': 0.6}, {'column': 'accumulation_days_10', 'op': '>=', 'value': 1}, {'column': 'distribution_days_10', 'op': '<=', 'value': 1}, {'column': 'above_ma50', 'op': '==', 'value': True}, {'column': 'CHDM50', 'op': '>=', 'value': 45}, {'column': 'DS20', 'op': '<=', 'value': 0.55}]","[{'column': 'edge_score', 'ascending': False, 'weight': 1.5}, {'column': 'value_ratio_20', 'ascending': False, 'weight': 1.0}, {'column': 'rs_percentile_20', 'ascending': False, 'weight': 1.0}, {'column': 'smart_money_score', 'ascending': False, 'weight': 1.0}]","{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.2, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",0.0,1834.0,0.515,1.028,1.289,1.19,0.338
accumulation_breakout_smt_v2,Grid-selected breakout variant with looser accumulation requirement and lower smart-money floor.,VN30,"['breakout', 'accumulation', 'money_cycle', 'smart_money_trace', 'grid_selected']","[{'column': 'mkt_regime_state', 'op': 'not_in', 'value': ['RISK_OFF']}, {'column': 'mkt_regime_score', 'op': '>=', 'value': 50}, {'column': 'breakout_20', 'op': '==', 'value': True}, {'column': 'value_ratio_20', 'op': '>=', 'value': 1.15}, {'column': 'smart_money_score', 'op': '>=', 'value': 55}, {'column': 'rs_percentile_20', 'op': '>=', 'value': 0.6}, {'column': 'accumulation_days_10', 'op': '>=', 'value': 0}, {'column': 'distribution_days_10', 'op': '<=', 'value': 1}, {'column': 'above_ma50', 'op': '==', 'value': True}, {'column': 'CHDM50', 'op': '>=', 'value': 45}, {'column': 'DS20', 'op': '<=', 'value': 0.55}]","[{'column': 'edge_score', 'ascending': False, 'weight': 1.5}, {'column': 'value_ratio_20', 'ascending': False, 'weight': 1.0}, {'column': 'rs_percentile_20', 'ascending': False, 'weight': 1.0}, {'column': 'smart_money_score', 'ascending': False, 'weight': 1.0}]","{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.2, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",0.0,1897.0,0.514,0.933,1.258,1.17,0.305
leader_pullback_market_regime_v3,Leader pullback with explicit market-regime brake and breadth momentum guard.,VN30,"['money_cycle', 'smart_money_trace', 'leader_pullback', 'market_regime']","[{'column': 'mkt_regime_state', 'op': 'in', 'value': ['RISK_ON', 'NEUTRAL']}, {'column': 'mkt_regime_score', 'op': '>=', 'value': 55}, {'column': 'mkt_CHDM20', 'op': '>', 'value': 45}, {'column': 'mkt_DS20', 'op': '<', 'value': 0.45}, {'column': 'mkt_DS50', 'op': '<', 'value': 0.5}, {'column': 'mkt_CHDM20_delta', 'op': '>=', 'value': -8}, {'column': 'mkt_DS20_delta', 'op': '<=', 'value': 0.12}, {'column': 'smart_money_score', 'op': '>=', 'value': 62}, {'column': 'rs_percentile_20', 'op': '>=', 'value': 0.62}, {'column': 'value_flow_quality_score', 'op': '>=', 'value': 55}, {'column': 'distribution_days_10', 'op': '<=', 'value': 1}, {'column': 'above_ma50', 'op': '==', 'value': True}, {'column': 'CHDM50', 'op': '>=', 'value': 45}, {'column': 'CHDM03', 'op': 'up'}, {'column': 'DS20', 'op': 'not_up'}]","[{'column': 'smart_money_score', 'ascending': False, 'weight': 1.5}, {'column': 'mkt_regime_score', 'ascending': False, 'weight': 1.0}, {'column': 'rs_percentile_20', 'ascending': False, 'weight': 1.0}, {'column': 'value_flow_quality_score', 'ascending': False, 'weight': 1.0}, {'column': 'CHDM50', 'ascending': False, 'weight': 0.5}]","{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 60, 'use_regime_exposure': True}",0.0,2111.0,0.515,0.902,1.267,1.16,0.31
leader_pullback_market_healthy_v2,"Grid-selected variant: looser SMT score, stricter market DS.",VN30,"['money_cycle', 'smart_money_trace', 'leader_pullback', 'grid_selected']","[{'column': 'mkt_CHDM20', 'op': '>', 'value': 45}, {'column': 'mkt_DS20', 'op': '<', 'value': 0.45}, {'column': 'mkt_DS50', 'op': '<', 'value': 0.5}, {'column': 'smart_money_score', 'op': '>=', 'value': 62}, {'column': 'rs_percentile_20', 'op': '>=', 'value': 0.62}, {'column': 'value_flow_quality_score', 'op': '>=', 'value': 55}, {'column': 'distribution_days_10', 'op': '<=', 'value': 1}, {'column': 'above_ma50', 'op': '==', 'value': True}, {'column': 'CHDM50', 'op': '>=', 'value': 45}, {'column': 'CHDM03', 'op': 'up'}, {'column': 'DS20', 'op': 'not_up'}]","[{'column': 'smart_money_score', 'ascending': False, 'weight': 1.5}, {'column': 'rs_percentile_20', 'ascending': False, 'weight': 1.0}, {'column': 'value_flow_quality_score', 'ascending': False, 'weight': 1.0}, {'column': 'CHDM50', 'ascending': False, 'weight': 0.5}]","{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 60}",0.0,2320.0,0.515,0.947,1.281,1.17,0.323
leader_pullback_market_healthy,"Healthy market, smart-money leader, short-cycle reset turning up.",VN30,"['money_cycle', 'smart_money_trace', 'leader_pullback']","[{'column': 'mkt_CHDM20', 'op': '>', 'value': 45}, {'column': 'mkt_DS20', 'op': '<', 'value': 0.5}, {'column': 'mkt_DS50', 'op': '<', 'value': 0.5}, {'column': 'smart_money_score', 'op': '>=', 'value': 68}, {'column': 'rs_percentile_20', 'op': '>=', 'value': 0.62}, {'column': 'value_flow_quality_score', 'op': '>=', 'value': 55}, {'column': 'distribution_days_10', 'op': '<=', 'value': 1}, {'column': 'above_ma50', 'op': '==', 'value': True}, {'column': 'CHDM50', 'op': '>=', 'value': 45}, {'column': 'CHDM03', 'op': 'up'}, {'column': 'DS20', 'op': 'not_up'}]","[{'column': 'smart_money_score', 'ascending': False, 'weight': 1.5}, {'column': 'rs_percentile_20', 'ascending': False, 'weight': 1.0}, {'column': 'value_flow_quality_score', 'ascending': False, 'weight': 1.0}, {'column': 'CHDM50', 'ascending': False, 'weight': 0.5}]","{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 60}",0.0,2165.0,0.515,0.974,1.292,1.18,0.334
smart_money_strong_market_healthy,Strong SMT state with Money Cycle market confirmation.,VN30,"['money_cycle', 'smart_money_trace', 'continuation']","[{'column': 'mkt_CHDM20', 'op': '>', 'value': 50}, {'column': 'mkt_DS20', 'op': '<', 'value': 0.45}, {'column': 'smart_money_state', 'op': 'in', 'value': ['HOT_BUT_STRONG', 'RESET_IN_UPTREND']}, {'column': 'smart_money_score', 'op': '>=', 'value': 65}, {'column': 'rs_percentile_20', 'op': '>=', 'value': 0.65}, {'column': 'distribution_days_10', 'op': '<=', 'value': 1}]","[{'column': 'smart_money_score', 'ascending': False, 'weight': 1.5}, {'column': 'rs_percentile_20', 'ascending': False, 'weight': 1.0}, {'column': 'CHDM50', 'ascending': False, 'weight': 0.5}]","{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 60}",0.0,1122.0,0.527,0.911,1.252,1.11,0.297
money_cycle_reset_smt_confirm,"Money Cycle short reset inside longer trend, confirmed by SMT quality.",VN30,"['money_cycle', 'smart_money_trace', 'reset']","[{'column': 'mkt_DS20', 'op': '<', 'value': 0.55}, {'column': 'CHDM50', 'op': '>=', 'value': 50}, {'column': 'CHDM03', 'op': 'between', 'value': [20, 45]}, {'column': 'CHDM03', 'op': 'up'}, {'column': 'DS20', 'op': 'not_up'}, {'column': 'smart_money_score', 'op': '>=', 'value': 60}, {'column': 'rs_percentile_20', 'op': '>=', 'value': 0.55}, {'column': 'distribution_days_10', 'op': '<=', 'value': 1}]","[{'column': 'smart_money_score', 'ascending': False, 'weight': 1.2}, {'column': 'CHDM03', 'ascending': True, 'weight': 0.8}, {'column': 'rs_percentile_20', 'ascending': False, 'weight': 1.0}]","{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 60}",0.0,723.0,0.533,0.795,1.233,1.07,0.273
leader_trend_continuation_smt_v1,Replacement for weak legacy ADX/LINREG/MACD trend setups: only trade leaders in a healthy market with SMT and Money Cycle confirmation.,VN100,"['trend', 'continuation', 'smart_money_trace', 'money_cycle', 'legacy_replacement']","[{'column': 'mkt_regime_state', 'op': 'in', 'value': ['RISK_ON', 'NEUTRAL']}, {'column': 'mkt_regime_score', 'op': '>=', 'value': 55}, {'column': 'mkt_CHDM20', 'op': '>', 'value': 45}, {'column': 'mkt_DS20', 'op': '<=', 'value': 0.45}, {'column': 'above_ma20', 'op': '==', 'value': True}, {'column': 'above_ma50', 'op': '==', 'value': True}, {'column': 'ma20_slope_5', 'op': '>=', 'value': 0}, {'column': 'ma50_slope_10', 'op': '>=', 'value': -0.01}, {'column': 'distance_ma20', 'op': 'between', 'value': [-0.02, 0.08]}, {'column': 'ret_5d', 'op': 'between', 'value': [-0.04, 0.1]}, {'column': 'smart_money_score', 'op': '>=', 'value': 62}, {'column': 'rs_percentile_20', 'op': '>=', 'value': 0.62}, {'column': 'value_flow_quality_score', 'op': '>=', 'value': 55}, {'column': 'distribution_days_10', 'op': '<=', 'value': 1}, {'column': 'CHDM50', 'op': '>=', 'value': 45}, {'column': 'DS20', 'op': '<=', 'value': 0.55}]","[{'column': 'edge_score', 'ascending': False, 'weight': 1.4}, {'column': 'smart_money_score', 'ascending': False, 'weight': 1.0}, {'column': 'rs_percentile_20', 'ascending': False, 'weight': 1.0}, {'column': 'mkt_regime_score', 'ascending': False, 'weight': 0.7}, {'column': 'distance_ma20', 'ascending': True, 'weight': 0.4}]","{'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",0.0,2308.0,0.52,0.823,1.274,1.15,0.313
compression_breakout_smt_v1,"Replacement for weak BB_SQUEEZE/NR7/INSIDE_BAR detectors: tight range only matters when SMT, RS, trend, and market breadth confirm.",VN100,"['compression', 'breakout', 'smart_money_trace', 'money_cycle', 'legacy_replacement']","[{'column': 'mkt_regime_state', 'op': 'not_in', 'value': ['RISK_OFF']}, {'column': 'mkt_regime_score', 'op': '>=', 'value': 50}, {'column': 'data_quality_ok', 'op': '==', 'value': True}, {'column': 'tight_range_20', 'op': '==', 'value': True}, {'column': 'close_location', 'op': '>=', 'value': 0.55}, {'column': 'above_ma20', 'op': '==', 'value': True}, {'column': 'above_ma50', 'op': '==', 'value': True}, {'column': 'distance_ma20', 'op': 'between', 'value': [-0.03, 0.06]}, {'column': 'smart_money_score_no_sector', 'op': '>=', 'value': 60}, {'column': 'rs_percentile_20', 'op': '>=', 'value': 0.58}, {'column': 'value_ratio_20', 'op': '>=', 'value': 0.95}, {'column': 'distribution_days_10', 'op': '<=', 'value': 1}, {'column': 'CHDM50', 'op': '>=', 'value': 45}, {'column': 'DS20', 'op': '<=', 'value': 0.55}]","[{'column': 'edge_score_no_sector', 'ascending': False, 'weight': 1.3}, {'column': 'range_pct', 'ascending': True, 'weight': 1.0}, {'column': 'close_location', 'ascending': False, 'weight': 0.6}, {'column': 'rs_percentile_20', 'ascending': False, 'weight': 0.8}, {'column': 'smart_money_score_no_sector', 'ascending': False, 'weight': 0.8}]","{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",0.0,225.0,0.511,1.034,1.412,1.34,0.451
spring_reclaim_smt_v1,Replacement for weak SPRING/HAMMER/OVERSOLD/RETEST reversal detectors: require support reclaim with SMT and non-deteriorating Money Cycle.,VN100,"['reversal', 'spring', 'reclaim', 'smart_money_trace', 'money_cycle', 'legacy_replacement']","[{'column': 'mkt_regime_state', 'op': 'not_in', 'value': ['RISK_OFF']}, {'column': 'mkt_regime_score', 'op': '>=', 'value': 45}, {'column': 'spring_20', 'op': '==', 'value': True}, {'column': 'close_location', 'op': '>=', 'value': 0.6}, {'column': 'distance_ma50', 'op': 'between', 'value': [-0.08, 0.08]}, {'column': 'smart_money_score', 'op': '>=', 'value': 56}, {'column': 'rs_percentile_20', 'op': '>=', 'value': 0.5}, {'column': 'value_flow_quality_score', 'op': '>=', 'value': 50}, {'column': 'distribution_days_10', 'op': '<=', 'value': 2}, {'column': 'CHDM50', 'op': '>=', 'value': 38}, {'column': 'DS20', 'op': 'not_up'}]","[{'column': 'edge_score', 'ascending': False, 'weight': 1.2}, {'column': 'pullback_quality_score', 'ascending': False, 'weight': 1.0}, {'column': 'close_location', 'ascending': False, 'weight': 0.8}, {'column': 'smart_money_score_delta', 'ascending': False, 'weight': 0.6}, {'column': 'DS20', 'ascending': True, 'weight': 0.5}]","{'stop_loss': 0.07, 'take_profit': 0.2, 'max_holding_bars': 28, 'initial_atr_stop_mult': 2.1, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",0.0,91.0,0.44,0.348,1.096,1.4,0.119
linreg_momentum_refined_v1,"Refined LINREG_MOMENTUM: linear-regression slope must align with leader trend, SMT quality, and healthy Money Cycle.",VN100,"['linreg', 'momentum', 'trend', 'smart_money_trace', 'money_cycle', 'legacy_refined']","[{'column': 'mkt_regime_state', 'op': 'not_in', 'value': ['RISK_OFF']}, {'column': 'mkt_regime_score', 'op': '>=', 'value': 55}, {'column': 'mkt_CHDM20', 'op': '>=', 'value': 50}, {'column': 'mkt_CHDM20_delta', 'op': '>=', 'value': -2}, {'column': 'mkt_DS20', 'op': '<=', 'value': 0.5}, {'column': 'above_ma20', 'op': '==', 'value': True}, {'column': 'above_ma50', 'op': '==', 'value': True}, {'column': 'ma20_slope_5', 'op': '>=', 'value': 0}, {'column': 'linreg_slope_14_pct', 'op': '>=', 'value': 0.006}, {'column': 'distance_ma20', 'op': 'between', 'value': [-0.01, 0.08]}, {'column': 'rsi14', 'op': 'between', 'value': [50, 70]}, {'column': 'smart_money_score', 'op': '>=', 'value': 60}, {'column': 'rs_percentile_20', 'op': '>=', 'value': 0.58}, {'column': 'value_flow_quality_score', 'op': '>=', 'value': 55}, {'column': 'distribution_days_10', 'op': '<=', 'value': 1}, {'column': 'DS20', 'op': '<=', 'value': 0.55}]","[{'column': 'linreg_slope_14_pct', 'ascending': False, 'weight': 1.1}, {'column': 'edge_score', 'ascending': False, 'weight': 1.0}, {'column': 'mkt_CHDM20_delta', 'ascending': False, 'weight': 0.5}, {'column': 'rs_percentile_20', 'ascending': False, 'weight': 0.8}, {'column': 'smart_money_score', 'ascending': False, 'weight': 0.8}]","{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",0.0,1238.0,0.51,0.579,1.195,1.12,0.225
