hypothesis,symbol,entry_date,exit_date,entry_price,exit_price,shares,entry_value,exit_value,pnl,pnl_pct,exit_reason,holding_bars,run
mean_reversion_uptrend_ma50_v1,GAS,2022-05-30,2022-06-13,74.94745499999999,77.08144000000001,100,7494.745499999999,7692.727712000001,197.9822120000017,2.641613541113594,TRAILING_ATR_STOP,10,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,VRE,2022-05-30,2022-06-14,29.814899999999998,27.136425,400,11925.96,10832.860859999999,-1093.0991400000003,-9.165711942686377,STOP_LOSS,11,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,HDB,2022-05-30,2022-06-15,10.635315,10.184905,1300,13825.9095,13213.895747,-612.0137529999993,-4.426571380349331,STOP_LOSS,12,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,ACB,2022-05-31,2022-06-15,14.867429999999999,14.322835000000001,2700,40142.060999999994,38594.311191,-1547.7498089999935,-3.8556809751248045,STOP_LOSS,11,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,VIC,2022-05-30,2022-06-23,39.0195,37.031475,300,11705.85,11087.223615,-618.6263849999996,-5.2847626186906504,ATR_STOP,18,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,VHM,2022-05-30,2022-06-30,68.044005,63.26835,200,13608.801,12628.36266,-980.4383399999988,-7.204443212888475,STOP_LOSS,23,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,BID,2022-07-25,2022-09-08,25.752869999999998,27.466260000000002,1100,28328.157,30152.460228000004,1824.3032280000043,6.439893806010763,TRAILING_ATR_STOP,31,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,CTG,2022-07-14,2022-09-19,16.278135,15.912040000000001,4000,65112.53999999999,63520.86368,-1591.6763199999914,-2.4445004295639388,MAX_HOLDING,45,VN30_2022_baseline_family
breakout_after_accumulation_v3,VIC,2022-12-01,2022-12-12,34.71735,33.88305,100,3471.735,3381.52839,-90.20661000000018,-2.5983149635556915,STOP_LOSS,7,VN30_2022_baseline_family
breakout_after_accumulation_v3,VRE,2022-11-29,2022-12-16,29.31465,27.5862,1000,29314.65,27531.0276,-1783.6224000000002,-6.0844062610333065,STOP_LOSS,13,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,GAS,2022-11-29,2022-12-22,77.19857999999999,72.30383,400,30879.431999999997,28863.688936000002,-2015.7430639999948,-6.527785433358991,STOP_LOSS,17,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,PLX,2022-12-21,2023-01-10,26.913449999999997,32.093945,1100,29604.795,35232.732821,5627.9378209999995,19.0102239214965,TAKE_PROFIT,13,VN30_2022_baseline_family
breakout_after_accumulation_v3,VCB,2023-01-10,2023-01-19,48.494234999999996,50.29484,100,4849.4235,5019.425032,170.00153200000022,3.50560292372898,TRAILING_ATR_STOP,7,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,VNM,2023-01-10,2023-02-02,67.903935,64.897535,100,6790.3935,6476.773993000001,-313.61950699999943,-4.61857633140111,ATR_STOP,12,VN30_2022_baseline_family
compression_breakout_smt_v1,SSB,2023-01-19,2023-02-03,24.83241,24.397795000000002,500,12416.205,12174.499705,-241.70529499999975,-1.9466922058712768,ATR_STOP,6,VN30_2022_baseline_family
breakout_after_accumulation_v3,HDB,2023-02-02,2023-02-03,9.68484,9.41529,800,7747.871999999999,7517.167536000001,-230.70446399999855,-2.977649398441257,ATR_STOP,1,VN30_2022_baseline_family
breakout_after_accumulation_v3,CTG,2022-11-29,2023-02-08,16.578285,17.951020000000003,1900,31498.741500000004,34038.72412400001,2539.982624000004,8.063759067961504,MAX_HOLDING,45,VN30_2022_baseline_family
breakout_after_accumulation_v3,MWG,2023-02-03,2023-02-08,46.563269999999996,44.247865000000004,200,9312.653999999999,8831.873854,-480.78014599999915,-5.162654448452602,ATR_STOP,3,VN30_2022_baseline_family
compression_breakout_smt_v1,VJC,2023-01-04,2023-02-09,112.55624999999999,107.64615,100,11255.625,10743.08577,-512.5392300000003,-4.5536274529402,STOP_LOSS,21,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,TPB,2023-01-05,2023-02-13,10.275134999999999,10.97451,300,3082.5404999999996,3285.768294,203.22779400000036,6.59286695503272,TRAILING_ATR_STOP,22,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,MWG,2023-02-08,2023-02-13,44.292135,40.75961,300,13287.640500000001,12203.427234,-1084.2132660000007,-8.159562008017906,STOP_LOSS,3,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,VRE,2023-02-03,2023-02-23,28.864425,28.285850000000003,300,8659.3275,8468.783490000002,-190.5440099999978,-2.20044812948809,STOP_LOSS,14,VN30_2022_baseline_family
compression_breakout_smt_v1,HDB,2023-02-22,2023-02-23,9.624809999999998,9.345325,700,6737.366999999998,6528.644045000001,-208.72295499999746,-3.0979899862957962,ATR_STOP,1,VN30_2022_baseline_family
compression_breakout_smt_v1,BVH,2023-02-21,2023-02-24,48.134055,46.586695,300,14440.216499999999,13948.056483,-492.16001699999833,-3.4082592667499023,ATR_STOP,3,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,GAS,2023-02-21,2023-02-27,74.79738,73.32332000000001,100,7479.738,7317.667336000001,-162.07066399999894,-2.1667960027476756,ATR_STOP,4,VN30_2022_baseline_family
compression_breakout_smt_v1,BCM,2023-01-10,2023-02-28,78.35915999999999,80.19988,100,7835.915999999999,8003.948023999999,168.0320240000001,2.144382660559405,MAX_HOLDING,30,VN30_2022_baseline_family
compression_breakout_smt_v1,BID,2023-03-10,2023-03-14,34.43721,33.42328,500,17218.605,16678.21672,-540.3882799999992,-3.1383975647272195,ATR_STOP,2,VN30_2022_baseline_family
breakout_after_accumulation_v3,FPT,2023-01-04,2023-03-15,50.275124999999996,49.165405,300,15082.537499999999,14720.122256999999,-362.41524299999946,-2.402879774043323,MAX_HOLDING,45,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,SSB,2023-03-09,2023-03-20,23.841914999999997,23.598195,100,2384.1914999999995,2355.099861,-29.091638999999304,-1.2201888564739582,ATR_STOP,7,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,SAB,2023-01-10,2023-03-21,72.86641499999999,76.951505,100,7286.641499999999,7679.760198999999,393.11869900000056,5.395060248263904,MAX_HOLDING,45,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,BVH,2023-03-10,2023-04-18,46.073024999999994,44.907535,300,13821.907499999998,13445.315979,-376.59152099999665,-2.7245987646784404,ATR_STOP,27,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,VPB,2023-03-09,2023-04-19,16.008,18.01099,200,3201.6,3594.993604,393.39360399999987,12.287406421789102,TRAILING_ATR_STOP,29,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,SSI,2023-02-17,2023-04-21,12.98649,14.262865,2200,28570.278,31315.546394,2745.2683940000024,9.608826326436175,MAX_HOLDING,45,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,BID,2023-03-28,2023-04-24,33.73686,32.033975,100,3373.686,3196.990705,-176.695295,-5.237455264064289,ATR_STOP,19,VN30_2022_baseline_family
compression_breakout_smt_v1,CTG,2023-03-16,2023-04-27,17.8089,17.43128,1000,17808.9,17396.41744,-412.4825600000004,-2.3161596729725042,MAX_HOLDING,30,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,ACB,2023-03-09,2023-05-16,14.66733,14.65267,200,2933.466,2924.672932,-8.793067999999948,-0.2997501249375295,MAX_HOLDING,45,VN30_2022_baseline_family
breakout_after_accumulation_v3,POW,2023-03-16,2023-05-23,11.08554,11.314340000000001,1600,17736.864,18066.738112000003,329.87411200000133,1.859822074522313,MAX_HOLDING,45,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,HDB,2023-03-28,2023-06-02,9.274634999999998,10.03498,600,5564.780999999999,6008.946023999999,444.1650239999999,7.98171615378934,MAX_HOLDING,45,VN30_2022_baseline_family
breakout_after_accumulation_v3,TPB,2023-05-16,2023-06-05,12.366179999999998,14.212890000000002,100,1236.6179999999997,1418.4464220000002,181.8284220000005,14.703685535872884,TRAILING_ATR_STOP,14,VN30_2022_baseline_family
breakout_after_accumulation_v3,GVR,2023-06-02,2023-06-09,18.199095,17.31134,300,5459.7285,5183.015196,-276.7133039999999,-5.068261251452336,ATR_STOP,5,VN30_2022_baseline_family
breakout_after_accumulation_v3,MWG,2023-06-13,2023-06-16,42.07102499999999,40.61968,100,4207.102499999999,4053.8440640000003,-153.2584359999987,-3.642850061295125,ATR_STOP,3,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,VCB,2023-05-09,2023-06-19,52.32614999999999,58.22087500000001,200,10465.229999999998,11620.88665,1155.6566500000026,11.042821323563867,TRAILING_ATR_STOP,29,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,HPG,2023-05-09,2023-06-21,16.378185,17.951020000000003,600,9826.910999999998,10749.070776000002,922.1597760000041,9.384024908742983,TRAILING_ATR_STOP,31,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,STB,2023-04-18,2023-06-23,25.91295,30.184900000000003,600,15547.769999999999,18074.71812,2526.9481200000027,16.25280101262112,MAX_HOLDING,45,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,TCB,2023-04-21,2023-06-28,13.70685,15.562215000000002,2500,34267.125,38827.72642500001,4560.601425000008,13.308970113483428,MAX_HOLDING,45,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,MBB,2023-05-22,2023-06-28,10.135065,11.214390000000002,200,2027.0130000000001,2238.392244,211.37924399999997,10.428114866554873,TRAILING_ATR_STOP,27,VN30_2022_baseline_family
breakout_after_accumulation_v3,STB,2023-06-23,2023-07-14,30.215099999999996,30.184900000000003,600,18129.059999999998,18074.71812,-54.34187999999631,-0.2997501249375109,ATR_STOP,15,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,ACB,2023-05-24,2023-07-26,14.957474999999999,15.642175000000002,1200,17948.969999999998,18733.06878,784.0987800000039,4.368488999647356,MAX_HOLDING,45,VN30_2022_baseline_family
compression_breakout_smt_v1,SSB,2023-06-28,2023-07-31,23.95197,26.176905,1700,40718.349,44411.737023,3693.3880229999995,9.07057411144052,TRAILING_ATR_STOP,23,VN30_2022_baseline_family
breakout_after_accumulation_v3,HPG,2023-06-22,2023-08-03,18.719355,20.70964,400,7487.742,8267.288288,779.5462879999995,10.410966189807281,TRAILING_ATR_STOP,30,VN30_2022_baseline_family
breakout_after_accumulation_v3,VHM,2023-08-01,2023-08-03,63.93194999999999,61.969,700,44752.365,43291.5434,-1460.8215999999957,-3.264233298061445,ATR_STOP,2,VN30_2022_baseline_family
breakout_after_accumulation_v3,SHB,2023-06-06,2023-08-08,7.493745,9.815090000000001,300,2248.1234999999997,2938.6379460000003,690.5144460000006,30.715147366236806,MAX_HOLDING,45,VN30_2022_baseline_family
breakout_after_accumulation_v3,CTG,2023-08-08,2023-08-10,20.17008,19.940025000000002,100,2017.0079999999998,1990.0144950000004,-26.99350499999946,-1.3382943944694052,ATR_STOP,2,VN30_2022_baseline_family
breakout_after_accumulation_v3,GVR,2023-06-22,2023-08-11,18.859425,20.579705,400,7543.77,8215.418236,671.6482359999991,8.903349863529762,TRAILING_ATR_STOP,36,VN30_2022_baseline_family
breakout_after_accumulation_v3,MWG,2023-07-14,2023-08-11,47.823899999999995,51.034470000000006,300,14347.169999999998,15279.720318000001,932.5503180000032,6.499890347713196,TRAILING_ATR_STOP,20,VN30_2022_baseline_family
breakout_after_accumulation_v3,ACB,2023-08-04,2023-08-11,16.568279999999998,16.101945,3300,54675.32399999999,53030.145663,-1645.1783369999903,-3.0089960454555156,ATR_STOP,5,VN30_2022_baseline_family
breakout_after_accumulation_v3,VCB,2023-06-19,2023-08-21,58.27912499999999,59.540215,200,11655.824999999999,11884.226914,228.40191400000185,1.9595516748063897,MAX_HOLDING,45,VN30_2022_baseline_family
breakout_after_accumulation_v3,FPT,2023-07-28,2023-08-30,60.43019999999999,68.16590000000001,300,18129.059999999998,20408.870460000006,2279.810460000008,12.575447706610316,TRAILING_ATR_STOP,23,VN30_2022_baseline_family
breakout_after_accumulation_v3,MBB,2023-07-12,2023-09-15,11.775884999999999,12.253870000000001,100,1177.5884999999998,1222.9362260000003,45.34772600000042,3.8508974909317155,MAX_HOLDING,45,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,TPB,2023-08-30,2023-09-25,13.696844999999998,13.343325,1200,16436.213999999996,15979.96602,-456.24797999999646,-2.775870282535848,ATR_STOP,16,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,PLX,2023-09-25,2023-09-27,36.478229999999996,34.44277,100,3647.8229999999994,3437.3884460000004,-210.43455399999903,-5.768770962845486,STOP_LOSS,2,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,TCB,2023-08-30,2023-09-28,16.068029999999997,15.3923,1000,16068.029999999997,15361.5154,-706.5145999999968,-4.397020667748298,ATR_STOP,19,VN30_2022_baseline_family
breakout_after_accumulation_v3,STB,2023-08-14,2023-10-03,31.915949999999995,30.634675,2500,79789.87499999999,76433.514125,-3356.360874999984,-4.206499728192311,ATR_STOP,34,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,VPB,2023-09-25,2023-10-26,18.689339999999998,18.220885000000003,300,5606.802,5455.332969,-151.46903099999963,-2.701522739700807,ATR_STOP,23,VN30_2022_baseline_family
breakout_after_accumulation_v3,VJC,2023-11-09,2023-11-17,113.0565,108.64565,100,11305.65,10842.83587,-462.81412999999884,-4.093653438767332,ATR_STOP,6,VN30_2022_baseline_family
breakout_after_accumulation_v3,HDB,2023-11-09,2023-11-28,11.66583,11.164415,1800,20998.494,20055.755106,-942.7388939999983,-4.489554793786632,ATR_STOP,13,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,TCB,2023-11-13,2023-11-28,14.797394999999998,13.83308,200,2959.479,2761.0827679999998,-198.39623200000005,-6.703755356939518,STOP_LOSS,11,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,VCB,2023-11-10,2023-12-15,57.86892,55.75211,100,5786.892,5564.0605780000005,-222.8314219999993,-3.8506234780258435,ATR_STOP,25,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,MBB,2023-11-10,2024-01-04,11.635815000000001,12.223885000000001,600,6981.4890000000005,7319.662338000001,338.1733380000005,4.843856919347727,TRAILING_ATR_STOP,38,VN30_2022_baseline_family
compression_breakout_smt_v1,ACB,2023-12-21,2024-01-09,16.28814,17.71114,300,4886.441999999999,5302.715316000001,416.2733160000016,8.51894519570685,TRAILING_ATR_STOP,12,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,BID,2023-11-09,2024-01-10,31.205595,37.62118,600,18723.357,22527.562584000003,3804.205584000003,20.317967467052,TAKE_PROFIT,43,VN30_2022_baseline_family
breakout_after_accumulation_v3,HPG,2023-11-09,2024-01-12,20.43021,20.70964,1000,20430.21,20668.22072,238.01072000000204,1.1649939966353848,MAX_HOLDING,45,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,VIB,2023-11-09,2024-01-12,12.58629,13.51324,1700,21396.693,22926.562983999997,1529.8699839999972,7.150030072404166,MAX_HOLDING,45,VN30_2022_baseline_family
breakout_after_accumulation_v3,BVH,2024-01-12,2024-01-16,40.290135,39.290345,1200,48348.162,47054.117172000006,-1294.044827999991,-2.6765129727165036,ATR_STOP,2,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,SSI,2023-11-17,2024-01-22,22.441215,23.48825,400,8976.486,9376.5094,400.02340000000004,4.4563473947377625,MAX_HOLDING,45,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,VJC,2023-11-28,2024-01-31,106.4532,105.5472,200,21290.64,21067.221120000002,-223.41887999999744,-1.0493760638477634,MAX_HOLDING,45,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,PLX,2023-12-01,2024-02-05,32.69634,32.20389,100,3269.634,3213.948222,-55.68577800000003,-1.703119615222989,MAX_HOLDING,45,VN30_2022_baseline_family
breakout_after_accumulation_v3,GVR,2024-01-31,2024-02-16,22.581284999999998,24.307840000000002,1000,22581.284999999996,24259.224320000005,1677.9393200000086,7.430663578268503,TRAILING_ATR_STOP,7,VN30_2022_baseline_family
compression_breakout_smt_v1,HDB,2024-01-04,2024-02-22,12.386190000000001,14.492750000000001,600,7431.714000000001,8678.258700000002,1246.5447000000013,16.77331366626866,MAX_HOLDING,30,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,VHM,2024-01-16,2024-02-23,41.6208,44.9775,100,4162.08,4488.7545,326.6745000000001,7.84882798985123,TRAILING_ATR_STOP,23,VN30_2022_baseline_family
breakout_after_accumulation_v3,MWG,2024-01-22,2024-02-26,45.112545000000004,43.008485,1000,45112.545000000006,42922.46803,-2190.076970000002,-4.854696116124687,ATR_STOP,20,VN30_2022_baseline_family
breakout_after_accumulation_v3,VCB,2024-01-10,2024-02-28,58.32914999999999,60.399785,300,17498.745,18083.695628999998,584.950628999999,3.34281475042924,TRAILING_ATR_STOP,30,VN30_2022_baseline_family
breakout_after_accumulation_v3,TCB,2024-02-16,2024-03-08,18.199095,20.04997,700,12739.3665,14006.909042,1267.5425419999992,9.949808273433371,TRAILING_ATR_STOP,15,VN30_2022_baseline_family
breakout_after_accumulation_v3,BID,2024-02-26,2024-03-08,43.18158,43.61818,900,38863.422,39177.849276,314.42727600000217,0.8090571025886557,ATR_STOP,9,VN30_2022_baseline_family
breakout_after_accumulation_v3,MBB,2024-02-16,2024-03-11,15.397695,15.022485,900,13857.925500000001,13493.196027,-364.72947300000124,-2.6319197126582994,ATR_STOP,16,VN30_2022_baseline_family
